1;Агентства и услуги;Рекламное агентство;Сибирь-медиа;1.jpg;Россия 24, Россия 1, Радио России, Маяк, ВестиFM, Эффективная, реклама на ТВ и радио,  23-13-13, 21-34-42;-;Ул. Ленина 7а;Штендер;1,4х0,8;Белый, синий, красный;3;студент 1 курса, муж.;;;;;;;;;;;;;
2;Культура. Искусство. Религия.;Театры;Бурятский государственный академический театр оперы и балета?;2.jpg;15 апреля в 18:30, Л.Минкус, Баядерка, Балет в 3-х действиях,Баядерка ? Вероника Миронова, нар.арт. РБ, Солор ? Михаил Овчаров, Гамзатти ? Евгения Цыренова, Дирижер ? Александр Сотников;"Бурятский государственный академический театр оперы и балета Билеты можно приобрести  на сайте :kassy.ru или по тел.: 21-36-00, Подробности наuuopera.ru";Ул. Ленина 51;Натяжной баннер;1,5х1,5 м;Желтый, красный, черный.;4;студент 1 курса, муж.;;;;;;;;;;;;;
3;Торговые комплексы. Спецмагазины.;Торговый центр;Forum;3.jpg;"Скоро открытие. Торговый центр ?FORUM?";-;Ул. Ленина, 39;Натяжной баннер;2х2 м;Белый, синий;4;студент 1 курса, муж.;;;;;;;;;;;;;
4;Одежда. Обувь.;Магазин женской одежды;Лиза;4.jpg;"Лиза Магазин женской одежды Новая коллекция";;Ул. Ленина 33;Баннерный стенд + стелла;2,0 х 1,2 м.;Синий, белый, красный, серый;2;студент 1 курса, муж.;;;;;;;;;;;;;
5;Общественное питание;Кафе;Бочка;5.jpg;Приглашаем Вас в кафе ?Бочка?. Комплексные обеды ? 150 руб. с понедельника по пятницу с 12-00 до 15-00, а также обеденные скидки 20% с 11-00 до 15-00 ч. Воскресенье ?Семейный день? скидка на все 20%.Европейская, кавказская, бурятская кухни. Бесплатный wi-fi. Ждем Вас о адресу: ул. Почтамтская, 1а;Кафе ?Бочка?,?Винегрет?, ?Бууза?. Бронирование по тел.: 222-020, 31-70-69.;Ул. Ленина 27а;Штендер на скамейке;1,5 х 0,5;Черный, серый;4;студент 1 курса, муж.;;;;;;;;;;;;;
